Gene	in_cgi_biomarkers
ABL1	1
AKT1	1
AKT2	1
AKT3	1
ALK	1
ANXA1	1
APC	1
AR	1
ARAF	1
AREG	1
ARID1A	1
ATM	1
ATR	1
AURKA	1
B2M	1
BAP1	1
BCL2	1
BCL6	1
BCOR	1
BRAF	1
BRCA1	1
BRCA2	1
BTK	1
C15orf55	1
CA9	1
CBL	1
CCND1	1
CCND2	1
CCND3	1
CCNE1	1
CD274	1
CD69	1
CDH1	1
CDK12	1
CDK4	1
CDK6	1
CDKN1A	1
CDKN1B	1
CDKN2A	1
CDKN2B	1
CDKN2C	1
CHEK2	1
CRBN	1
CRLF2	1
CSF1R	1
CSF3R	1
CTNNB1	1
CYP17A1	1
DDR2	1
DNMT3A	1
DPYD	1
EGFR	1
EPHA2	1
EPHA3	1
ERBB2	1
ERBB3	1
ERBB4	1
ERCC1	1
ERCC2	1
ERCC4	1
ERCC6	1
EREG	1
ESR1	1
EZH2	1
FANCA	1
FANCC	1
FAT1	1
FBXW7	1
FGF3	1
FGF4	1
FGFR1	1
FGFR2	1
FGFR3	1
FGFR4	1
FLCN	1
FLT1	1
FLT3	1
FOXA1	1
FRS2	1
G6PD	1
GATA3	1
GLI2	1
GNA11	1
GNAQ	1
GNAS	1
HDAC2	1
HGF	1
HIF1A	1
HRAS	1
IDH1	1
IDH2	1
IGF1R	1
IGF2	1
IL7R	1
INPP4B	1
JAK1	1
JAK2	1
JAK3	1
KCNJ5	1
KDR	1
KIT	1
KRAS	1
LRP1B	1
MAP2K1	1
MAP2K2	1
MCL1	1
MDM2	1
MDM4	1
MET	1
MITF	1
MKI67	1
MLL	1
MLL2	1
MPL	1
MSH3	1
MTOR	1
MYC	1
MYCN	1
MYD88	1
NF1	1
NF2	1
NOTCH1	1
NOTCH2	1
NPM1	1
NRAS	1
NRG1	1
NTRK1	1
NTRK3	1
PAK1	1
PALB2	1
PBRM1	1
PDGFB	1
PDGFRA	1
PDPK1	1
PIK3CA	1
PIK3CB	1
PIK3R1	1
PIK3R2	1
PLCG2	1
PML	1
POLE	1
PRKCH	1
PTCH1	1
PTEN	1
PTPRD	1
RAC1	1
RAD50	1
RAD51C	1
RAF1	1
RB1	1
RET	1
RICTOR	1
RNF43	1
ROS1	1
SERPINB3	1
SETD2	1
SF3B1	1
SH2B3	1
SLC29A1	1
SLC44A4	1
SMARCA1	1
SMARCA4	1
SMARCB1	1
SMO	1
SRSF2	1
STAG2	1
STK11	1
SUZ12	1
SYK	1
TERT	1
TMPRSS2	1
TOP2A	1
TP53	1
TPMT	1
TSC1	1
TSC2	1
TUBB3	1
U2AF1	1
UGT1A1	1
VEGFA	1
VHL	1
ZBTB16	1
ZNRF3	1
