Gene	is_OG	is_TS
ABL1	1	0
AFDN	1	0
AFF1	1	0
AFF4	1	0
AGAP2	0	1
AGR2	1	0
AIM2	0	1
AKAP13	1	0
AKIP1	1	0
AKT1	1	0
AKT2	1	0
ALK	1	0
APC	0	1
ARAF	1	0
ARHGAP20	0	1
ARHGAP26	1	0
ARHGEF12	1	0
ARHGEF5	1	0
ARID3B	0	1
ASPSCR1	1	0
ATM	0	1
AURKA	1	0
AXIN1	0	1
AXL	1	0
BANP	0	1
BAX	0	1
BCAS3	1	0
BCAS4	1	0
BCL10	0	1
BCL2	1	0
BCL3	1	0
BCL6	1	0
BCL9	1	0
BCR	1	0
BMI1	1	0
BRAF	1	0
BRCA1	0	1
BRCA2	0	1
BRCC3	1	0
BRD7	0	1
BRI3BP	1	0
BRMS1	0	1
BTG1	1	0
BUB1B	0	1
C10orf90	0	1
CADM1	0	1
CADM4	0	1
CARS	1	0
CAVIN3	0	1
CBFB	1	0
CBL	1	0
CCAR2	0	1
CCDC6	1	0
CCND1	1	0
CCNL1	1	0
CDC73	0	1
CDK2AP1	0	1
CDKN1B	0	1
CDKN1C	0	1
CDKN2A	0	1
CDKN2B	0	1
CDKN2D	0	1
CDT1	1	0
CHD5	0	1
CHEK2	0	1
CMC4	1	0
CREB3L2	1	0
CREBL2	0	1
CRK	1	0
CSF1R	1	0
CSNK2A3	1	0
CTCF	0	1
CYLD	0	1
DAB2	0	1
DAB2IP	0	1
DAPK3	0	1
DCC	0	1
DCUN1D1	1	0
DDIT3	1	0
DDX6	1	0
DEC1	0	1
DEK	1	0
DIS3L2	0	1
DLC1	0	1
DLEC1	0	1
DLEU1	0	1
DMBT1	0	1
DMTF1	0	1
DMTN	0	1
DOCK4	1	0
DPH1	0	1
EFNA1	0	1
EGFR	1	0
ELAC2	1	0
ELF4	1	0
ELL	1	0
ENTPD5	1	0
EPB41L3	0	1
EPHB2	0	1
EPS15	1	0
ERG	1	0
ERRFI1	0	1
ETS1	1	0
ETS2	1	0
ETV1	1	0
ETV6	1	0
EVI2A	1	0
EVI2B	1	0
EWSR1	1	0
EXT1	0	1
EXT2	0	1
FAM120A	0	1
FAM210B	0	1
FAM83A	1	0
FAM83B	1	0
FAM83D	1	0
FCGR2B	1	0
FER	1	0
FES	1	1
FGF3	1	0
FGF4	1	0
FGF5	1	0
FGF6	1	0
FGFR2	1	0
FGR	1	0
FH	0	1
FHIT	0	1
FLCN	0	1
FLI1	1	0
FLT3	1	0
FOS	1	0
FOXO1	1	0
FOXO3	1	0
FOXO4	1	0
FRAT1	1	0
FRK	0	1
FSTL3	1	0
FUS	1	0
FYN	1	0
GAS7	1	0
GFI1B	1	0
GLI1	1	0
GMPS	1	0
GNAS	1	0
GPR15L	0	1
GPR68	0	1
GPRC5A	0	1
GPS2	0	1
GSDME	0	1
HCK	1	0
HIC1	0	1
HIF3A	0	1
HLF	1	0
HMGA2	1	0
HOPX	1	0
HOXA9	1	0
HPGD	0	1
HRAS	1	0
HTATIP2	0	1
IL2	1	0
ING1	0	1
ING4	0	1
